canal,sku,sku_hites,com_pct,nombre,fuente
Hites,LHMALEXPBK-70,10648000065,18.0,Maleta Bolso Trolly Expedition Duffel 70lts Black,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,LVSILLERGO-BL,10648000064,18.0,Silla Escritorio Oficina Ergonómica Reclinable Ergotech LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,1650300000000,10648000053,12.0,Parrilla Para Auto Aluminio portaequipaje Universal XROAD,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,SMBATSAV9-CR,10648000062,18.0,Batería de Cocina Antiadherente Savannah 9 Piezas ,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,XRCOOLPORT-GR,10648000051,18.0,Cooler Eléctrico Portátil 25 Lts Gris 12V XRoad,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,LVMONEXV-15,10648000067,10.0,Pantalla Monitor Portátil 15.6 LED Full HD NexView LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,SMBATLCGR,10648000094,18.0,Batería de Cocina Antiadherente Lucca 10 pcs Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,SMBATOXBK,10648000061,18.0,Batería de Cocina Antiadherente Oxford Granito 15pcs Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,LVPRONOV,10648000081,10.0,Proyector Portatil Smart Nova 9000lm WiFi BT Android LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,LVPROORI,10648000080,10.0,Proyector Portatil Smart Orion 12000lm WiFi BT Android LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,LVPROLUM,10648000068,10.0,Proyector Portatil Inalámbrico Smart Lumix 9000lm BT LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
